Trinity_protein	sseqid.x	evalue.x
TRINITY_DN1446_c1_g1_i13	sp|O75844|FACE1_HUMAN	1.34e-164
TRINITY_DN1446_c1_g1_i4	sp|O75844|FACE1_HUMAN	3.93e-164
TRINITY_DN1446_c1_g1_i7	sp|O75844|FACE1_HUMAN	3.84e-164
TRINITY_DN1446_c1_g1_i5	sp|O75844|FACE1_HUMAN	1.43e-164
TRINITY_DN1446_c1_g1_i3	sp|O75844|FACE1_HUMAN	3.26e-166
TRINITY_DN1446_c1_g1_i8	sp|O75844|FACE1_HUMAN	1.37e-164
TRINITY_DN1446_c1_g1_i9	sp|O75844|FACE1_HUMAN	1.43e-164
TRINITY_DN1446_c1_g1_i12	sp|O75844|FACE1_HUMAN	1.43e-164
TRINITY_DN1446_c1_g1_i2	sp|O75844|FACE1_HUMAN	3.35e-166
TRINITY_DN1446_c1_g1_i1	sp|O75844|FACE1_HUMAN	1.47e-164
TRINITY_DN1456_c1_g1_i6	sp|F1RQM2|AGM1_PIG	2.77e-143
TRINITY_DN1456_c1_g1_i2	sp|F1RQM2|AGM1_PIG	3e-143
TRINITY_DN1456_c1_g1_i4	sp|F1RQM2|AGM1_PIG	2.88e-143
TRINITY_DN1456_c1_g1_i1	sp|F1RQM2|AGM1_PIG	2.88e-143
TRINITY_DN1456_c1_g1_i3	sp|F1RQM2|AGM1_PIG	2.71e-143
TRINITY_DN1423_c0_g1_i1	sp|Q8WQI7|RL18A_SPOFR	7.67e-78
TRINITY_DN1432_c1_g1_i5	sp|Q96RQ1|ERGI2_HUMAN	2.89e-94
TRINITY_DN1445_c0_g1_i1	sp|Q9W0T5|PYX_DROME	9.93e-19
TRINITY_DN1445_c0_g1_i1	sp|Q9W0T5|PYX_DROME	1.95e-07
TRINITY_DN1445_c0_g1_i1	sp|Q9W0T5|PYX_DROME	0.002
TRINITY_DN1445_c0_g1_i13	sp|Q9W0T5|PYX_DROME	9.31e-19
TRINITY_DN1445_c0_g1_i13	sp|Q9W0T5|PYX_DROME	1.75e-07
TRINITY_DN1445_c0_g1_i13	sp|Q9W0T5|PYX_DROME	0.002
TRINITY_DN1445_c0_g1_i4	sp|Q9W0T5|PYX_DROME	9.92e-19
TRINITY_DN1445_c0_g1_i4	sp|Q9W0T5|PYX_DROME	1.94e-07
TRINITY_DN1445_c0_g1_i4	sp|Q9W0T5|PYX_DROME	0.002
TRINITY_DN1445_c0_g1_i8	sp|Q9W0T5|PYX_DROME	9.32e-19
TRINITY_DN1445_c0_g1_i8	sp|Q9W0T5|PYX_DROME	1.75e-07
TRINITY_DN1445_c0_g1_i8	sp|Q9W0T5|PYX_DROME	0.002
TRINITY_DN1433_c0_g1_i1	sp|Q9VWH4|IDH3A_DROME	0
TRINITY_DN1440_c0_g1_i7	sp|Q8VEK3|HNRPU_MOUSE	0.091
TRINITY_DN1440_c0_g1_i4	sp|Q8VEK3|HNRPU_MOUSE	0.088
TRINITY_DN1440_c0_g1_i1	sp|Q8VEK3|HNRPU_MOUSE	0.099
TRINITY_DN1440_c0_g1_i5	sp|Q8VEK3|HNRPU_MOUSE	0.1
TRINITY_DN1440_c0_g1_i3	sp|Q8VEK3|HNRPU_MOUSE	0.093
TRINITY_DN1440_c0_g1_i2	sp|Q8VEK3|HNRPU_MOUSE	0.086
TRINITY_DN1411_c0_g1_i1	sp|Q9BRR6|ADPGK_HUMAN	3.2
TRINITY_DN1411_c0_g1_i2	sp|Q9BRR6|ADPGK_HUMAN	2.8
TRINITY_DN1411_c0_g1_i3	sp|Q9BRR6|ADPGK_HUMAN	5.1
TRINITY_DN1411_c0_g1_i5	sp|Q9BRR6|ADPGK_HUMAN	2.8
TRINITY_DN1411_c0_g1_i6	sp|Q9BRR6|ADPGK_HUMAN	2.8
TRINITY_DN1411_c0_g1_i4	sp|Q9BRR6|ADPGK_HUMAN	4.7
TRINITY_DN1489_c0_g1_i2	sp|Q99323|MYSN_DROME	0
TRINITY_DN1489_c0_g1_i9	sp|Q99323|MYSN_DROME	0
TRINITY_DN1449_c0_g1_i1	sp|Q9V535|RBM8A_DROME	2.55e-70
TRINITY_DN1421_c0_g1_i2	sp|O44001|HSP90_EIMTE	3.01e-68
TRINITY_DN1421_c0_g1_i1	sp|O44001|HSP90_EIMTE	1.36e-68
TRINITY_DN1402_c1_g1_i3	sp|Q8RXF1|SF3A1_ARATH	0.047
TRINITY_DN1402_c1_g1_i1	sp|Q8RXF1|SF3A1_ARATH	0.069
TRINITY_DN1402_c1_g1_i2	sp|Q8RXF1|SF3A1_ARATH	0.066
TRINITY_DN1402_c1_g1_i5	sp|Q8RXF1|SF3A1_ARATH	0.049
TRINITY_DN1418_c0_g1_i2	sp|Q9V3H2|PSDE_DROME	3.73e-150
TRINITY_DN1418_c0_g1_i1	sp|Q9V3H2|PSDE_DROME	3.6e-150
TRINITY_DN1477_c0_g1_i13	sp|Q9TTU3|CLCN5_RABIT	2.16e-138
TRINITY_DN1477_c0_g1_i14	sp|Q9TTU3|CLCN5_RABIT	5.09e-139
TRINITY_DN1477_c0_g1_i12	sp|Q9TTU3|CLCN5_RABIT	9.01e-139
TRINITY_DN1477_c0_g1_i6	sp|Q9TTU3|CLCN5_RABIT	9.18e-139
TRINITY_DN1477_c0_g1_i9	sp|Q9R279|CLCN3_CAVPO	7.41e-139
TRINITY_DN1462_c1_g1_i1	sp|Q6DRC3|CU059_DANRE	7.88e-37
TRINITY_DN1464_c0_g1_i2	sp|A5I5U3|CFR_CLOBH	9.64e-109
TRINITY_DN1487_c0_g1_i2	sp|Q9V3H2|PSDE_DROME	0
TRINITY_DN1487_c0_g1_i1	sp|Q9V3H2|PSDE_DROME	0
TRINITY_DN1471_c0_g1_i2	sp|P83827|TRPD_THETH	5.8
TRINITY_DN1471_c0_g1_i5	sp|P83827|TRPD_THETH	5.3
TRINITY_DN1471_c0_g1_i4	sp|P83827|TRPD_THETH	5.6
TRINITY_DN1415_c0_g1_i3	sp|Q8BMG8|MFTC_MOUSE	2.89e-114
TRINITY_DN1415_c0_g1_i3	sp|Q8BMG8|MFTC_MOUSE	0.59
TRINITY_DN1415_c0_g1_i1	sp|Q8BMG8|MFTC_MOUSE	8.3e-119
TRINITY_DN1443_c0_g1_i2	sp|Q09JZ4|DAAF1_CHLRE	2.07e-46
TRINITY_DN1443_c0_g1_i5	sp|Q09JZ4|DAAF1_CHLRE	4.29e-47
TRINITY_DN1443_c0_g1_i9	sp|Q09JZ4|DAAF1_CHLRE	2.01e-46
TRINITY_DN1443_c0_g1_i1	sp|Q09JZ4|DAAF1_CHLRE	2.04e-46
TRINITY_DN1443_c0_g1_i15	sp|Q09JZ4|DAAF1_CHLRE	1.97e-46
TRINITY_DN1443_c0_g1_i16	sp|Q09JZ4|DAAF1_CHLRE	1.1e-46
TRINITY_DN1443_c0_g1_i11	sp|Q09JZ4|DAAF1_CHLRE	2.04e-46
TRINITY_DN1443_c0_g1_i18	sp|Q09JZ4|DAAF1_CHLRE	9.04e-47
TRINITY_DN1443_c0_g1_i4	sp|Q09JZ4|DAAF1_CHLRE	2.1e-46
TRINITY_DN1443_c0_g1_i14	sp|Q09JZ4|DAAF1_CHLRE	1.57e-46
TRINITY_DN1483_c0_g1_i2	sp|Q29AK2|LMLN_DROPS	1.45e-13
TRINITY_DN1444_c0_g1_i4	sp|Q8NBX0|SCPDL_HUMAN	1.07e-95
TRINITY_DN1444_c0_g1_i1	sp|Q8NBX0|SCPDL_HUMAN	1.1e-95
TRINITY_DN1444_c0_g1_i3	sp|Q8NBX0|SCPDL_HUMAN	2.32e-95
TRINITY_DN1444_c1_g4_i1	sp|P45594|CADF_DROME	1.61e-54
TRINITY_DN1484_c0_g1_i1	sp|Q9BKS0|AT5G_CAEEL	9.67e-07
TRINITY_DN1484_c0_g1_i4	sp|Q9BKS0|AT5G_CAEEL	9.93e-07
TRINITY_DN1484_c0_g1_i2	sp|Q9BKS0|AT5G_CAEEL	1.14e-06
TRINITY_DN1484_c0_g1_i3	sp|Q9BKS0|AT5G_CAEEL	1.23e-06
TRINITY_DN1409_c0_g1_i2	sp|Q8BGC3|MOT12_MOUSE	6.29e-32
TRINITY_DN1409_c0_g1_i2	sp|Q8BGC3|MOT12_MOUSE	2.76e-14
TRINITY_DN1409_c0_g1_i6	sp|Q8BGC3|MOT12_MOUSE	6.17e-32
TRINITY_DN1409_c0_g1_i6	sp|Q8BGC3|MOT12_MOUSE	2.71e-14
TRINITY_DN1409_c0_g1_i5	sp|Q8BGC3|MOT12_MOUSE	6.23e-32
TRINITY_DN1409_c0_g1_i5	sp|Q8BGC3|MOT12_MOUSE	2.74e-14
TRINITY_DN1466_c0_g1_i1	sp|Q871L5|ATG2_NEUCR	1.8
TRINITY_DN1466_c0_g1_i5	sp|Q871L5|ATG2_NEUCR	1.9
TRINITY_DN1466_c0_g1_i4	sp|Q871L5|ATG2_NEUCR	1.8
TRINITY_DN1466_c0_g1_i2	sp|Q871L5|ATG2_NEUCR	1.9
TRINITY_DN1499_c0_g1_i11	sp|P95459|CSPA_PSEAE	3.55e-07
TRINITY_DN1499_c0_g1_i3	sp|P95459|CSPA_PSEAE	3.57e-07
TRINITY_DN1499_c0_g1_i10	sp|P95459|CSPA_PSEAE	3.28e-07
TRINITY_DN1499_c0_g1_i7	sp|P95459|CSPA_PSEAE	3.63e-07
TRINITY_DN1499_c0_g1_i2	sp|P95459|CSPA_PSEAE	3.45e-07
TRINITY_DN1499_c0_g1_i12	sp|P95459|CSPA_PSEAE	3.64e-07
TRINITY_DN1499_c0_g1_i4	sp|P95459|CSPA_PSEAE	3.84e-07
TRINITY_DN1499_c0_g1_i1	sp|P95459|CSPA_PSEAE	3.72e-07
TRINITY_DN54532_c0_g1_i1	sp|Q9ESF1|OTOF_MOUSE	0.5
TRINITY_DN54542_c0_g1_i1	sp|Q63170|DYH7_RAT	3.55e-39
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	1.45e-19
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	2.92e-11
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	3.15e-11
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	1.92e-09
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	4.88e-06
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	1.5e-05
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	2.78e-05
TRINITY_DN54530_c0_g1_i1	sp|Q54KA7|SECG_DICDI	0.16
TRINITY_DN54523_c0_g1_i1	sp|Q96S53|TESK2_HUMAN	2.34e-58
TRINITY_DN28232_c0_g1_i1	sp|B3EWZ3|CADN_ACRMI	1.03e-29
TRINITY_DN28232_c0_g1_i1	sp|B3EWZ3|CADN_ACRMI	1.18e-12
TRINITY_DN28232_c0_g1_i1	sp|B3EWZ3|CADN_ACRMI	1.68e-05
TRINITY_DN28232_c0_g2_i1	sp|Q9HCB6|SPON1_HUMAN	1.86e-05
TRINITY_DN28232_c0_g2_i1	sp|Q9HCB6|SPON1_HUMAN	0.004
TRINITY_DN28232_c0_g2_i1	sp|Q9HCB6|SPON1_HUMAN	0.006
TRINITY_DN28232_c0_g2_i1	sp|Q9HCB6|SPON1_HUMAN	0.03
TRINITY_DN28232_c0_g2_i1	sp|Q9HCB6|SPON1_HUMAN	0.58
TRINITY_DN28254_c0_g3_i1	sp|Q8KZT5|GBH_ARTS8	7.48e-54
TRINITY_DN28254_c0_g1_i1	sp|Q8KZT5|GBH_ARTS8	2.14e-33
TRINITY_DN28256_c0_g1_i2	sp|P64846|Y1449_MYCBO	2.9
TRINITY_DN28256_c0_g1_i1	sp|P64846|Y1449_MYCBO	2.6
TRINITY_DN28283_c0_g1_i2	sp|Q8BSN3|CC151_MOUSE	1.1
TRINITY_DN28283_c0_g1_i1	sp|Q8BSN3|CC151_MOUSE	1.2
TRINITY_DN28234_c0_g4_i1	sp|Q9TZC4|ILKH_CAEEL	2.5e-09
TRINITY_DN28234_c0_g3_i4	sp|Q12955|ANK3_HUMAN	9.78e-24
TRINITY_DN28234_c0_g3_i4	sp|Q12955|ANK3_HUMAN	2.72e-19
TRINITY_DN28234_c0_g3_i4	sp|Q12955|ANK3_HUMAN	1.38e-18
TRINITY_DN28234_c0_g3_i4	sp|Q12955|ANK3_HUMAN	1.25e-16
TRINITY_DN28234_c0_g3_i4	sp|Q12955|ANK3_HUMAN	8.6e-15
TRINITY_DN28234_c0_g3_i4	sp|Q12955|ANK3_HUMAN	0.03
TRINITY_DN28234_c0_g3_i3	sp|Q12955|ANK3_HUMAN	1.91e-24
TRINITY_DN28234_c0_g3_i3	sp|Q12955|ANK3_HUMAN	7.39e-20
TRINITY_DN28234_c0_g3_i3	sp|Q12955|ANK3_HUMAN	3.91e-19
TRINITY_DN28234_c0_g3_i3	sp|Q12955|ANK3_HUMAN	3.95e-17
TRINITY_DN28234_c0_g3_i3	sp|Q12955|ANK3_HUMAN	2.96e-15
TRINITY_DN28234_c0_g3_i3	sp|Q12955|ANK3_HUMAN	0.015
TRINITY_DN28281_c0_g1_i1	sp|Q16222|UAP1_HUMAN	2.79e-45
TRINITY_DN28210_c0_g1_i1	sp|P49010|HEXC_BOMMO	3.32e-26
TRINITY_DN28237_c0_g1_i4	sp|Q9UIH9|KLF15_HUMAN	8.86e-44
TRINITY_DN28237_c0_g1_i4	sp|Q9UIH9|KLF15_HUMAN	1.31e-06
TRINITY_DN9039_c0_g1_i1	sp|Q0IID9|GLPK_BOVIN	3.52e-60
TRINITY_DN9085_c0_g2_i1	sp|Q0ZB81|MTNA_BOMMO	1.43e-138
TRINITY_DN9081_c0_g1_i1	sp|Q9SFB8|PI5K6_ARATH	1.04e-28
TRINITY_DN9081_c0_g1_i1	sp|Q9SFB8|PI5K6_ARATH	8.36e-24
TRINITY_DN9081_c0_g1_i1	sp|Q9SFB8|PI5K6_ARATH	1.65e-21
TRINITY_DN9081_c0_g1_i1	sp|Q9SFB8|PI5K6_ARATH	3.96e-12
TRINITY_DN9081_c0_g1_i1	sp|Q9SFB8|PI5K6_ARATH	4.9e-08
TRINITY_DN9081_c0_g2_i2	sp|P0C881|R10B1_HUMAN	1.23e-27
TRINITY_DN9081_c0_g2_i2	sp|P0C881|R10B1_HUMAN	2.62e-24
TRINITY_DN9081_c0_g2_i2	sp|P0C881|R10B1_HUMAN	4.4e-24
TRINITY_DN9081_c0_g2_i2	sp|P0C881|R10B1_HUMAN	7.54e-23
TRINITY_DN9081_c0_g2_i2	sp|P0C881|R10B1_HUMAN	9.42e-08
TRINITY_DN9081_c0_g2_i2	sp|P0C881|R10B1_HUMAN	6.03e-05
TRINITY_DN9030_c0_g2_i3	sp|Q0IIF7|UBP14_BOVIN	1.78e-177
TRINITY_DN9030_c0_g2_i4	sp|Q0IIF7|UBP14_BOVIN	4.33e-177
TRINITY_DN9084_c0_g1_i6	sp|P18294|KCRF_STRPU	0
TRINITY_DN9084_c0_g1_i6	sp|P18294|KCRF_STRPU	3.33e-104
TRINITY_DN9084_c0_g1_i3	sp|P18294|KCRF_STRPU	0
TRINITY_DN9084_c0_g1_i3	sp|P18294|KCRF_STRPU	3.02e-104
TRINITY_DN9084_c0_g1_i9	sp|P18294|KCRF_STRPU	0
TRINITY_DN9084_c0_g1_i9	sp|P18294|KCRF_STRPU	2.27e-104
TRINITY_DN9084_c0_g1_i2	sp|P18294|KCRF_STRPU	0
TRINITY_DN9084_c0_g1_i2	sp|P18294|KCRF_STRPU	2.08e-104
TRINITY_DN9084_c0_g1_i5	sp|P18294|KCRF_STRPU	0
TRINITY_DN9084_c0_g1_i5	sp|P18294|KCRF_STRPU	2.85e-104
TRINITY_DN9084_c0_g1_i8	sp|P18294|KCRF_STRPU	0
TRINITY_DN9084_c0_g1_i8	sp|P18294|KCRF_STRPU	1.92e-104
TRINITY_DN9013_c0_g1_i2	sp|Q8DM56|NDK_THEEB	0.7
TRINITY_DN9013_c0_g1_i3	sp|Q8DM56|NDK_THEEB	0.68
TRINITY_DN9052_c0_g2_i1	sp|P97864|CASP7_MOUSE	1.12e-15
TRINITY_DN9052_c0_g2_i2	sp|P97864|CASP7_MOUSE	1.14e-15
TRINITY_DN9080_c0_g2_i1	sp|H2LRU7|PKD2_ORYLA	2.89e-13
TRINITY_DN9080_c0_g2_i3	sp|H2LRU7|PKD2_ORYLA	2.75e-13
TRINITY_DN9094_c0_g2_i2	sp|Q9VWU1|PSH_DROME	4.8e-23
TRINITY_DN9094_c0_g2_i1	sp|Q9VWU1|PSH_DROME	4.06e-23
TRINITY_DN9031_c0_g1_i4	sp|Q8NNC1|ISPT2_CORGL	5
TRINITY_DN9031_c0_g1_i2	sp|Q8NNC1|ISPT2_CORGL	4.5
TRINITY_DN9031_c0_g1_i1	sp|Q8NNC1|ISPT2_CORGL	4.7
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	3.47e-40
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	3.41e-35
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	8.67e-35
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	1.95e-32
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	2.55e-26
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	5.76e-24
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	2e-23
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	4.83e-23
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	1.76e-22
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	2.54e-20
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	5.83e-16
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	6.18e-16
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	2.38e-15
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	1.79e-14
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	1e-13
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	3.04e-12
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	3.95e-07
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	1.65e-06
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	1.03e-05
TRINITY_DN9027_c0_g1_i11	sp|Q02525|ZFP39_MOUSE	0.002
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	2.69e-27
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	7.18e-26
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	3.53e-24
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	6.46e-24
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	1.2e-23
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	1.9e-22
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	2.5e-22
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	1.91e-20
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	2.06e-20
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	1.6e-19
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	3.36e-19
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	5.57e-19
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	3.64e-18
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	1.4e-16
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	2.91e-15
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	2.56e-05
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	0.017
TRINITY_DN9027_c0_g1_i5	sp|Q9BY31|ZN717_HUMAN	2.2
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	1.77e-28
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	6.49e-27
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	5.41e-26
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	1.81e-25
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	2.31e-25
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	2.98e-25
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	6.28e-24
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	5.08e-23
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	1.11e-22
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	9.73e-22
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	7.04e-21
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	8.56e-21
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	2.27e-20
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	5.69e-17
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	1.1e-16
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	8.15e-14
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	2e-05
TRINITY_DN9027_c0_g1_i7	sp|Q9BY31|ZN717_HUMAN	1.1
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	3.75e-29
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	1.11e-27
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	1.29e-26
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	4.79e-26
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	8.17e-26
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	8.64e-26
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	2.55e-24
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	1.23e-23
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	3.91e-23
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	4.14e-22
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	2.29e-21
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	2.57e-21
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	4.94e-21
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	1.37e-17
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	1.29e-16
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	2.43e-14
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	1.22e-05
TRINITY_DN9027_c0_g1_i9	sp|Q9BY31|ZN717_HUMAN	0.42
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.32e-39
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	6.79e-38
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.42e-35
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.08e-34
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	2.38e-32
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.07e-26
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	2.24e-26
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.5e-23
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	4.09e-22
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	6.93e-20
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	5.75e-17
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	4.8e-16
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	3.37e-15
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	2.51e-14
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.38e-13
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	9.07e-07
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.08e-06
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	1.72e-05
TRINITY_DN9027_c0_g1_i1	sp|Q02525|ZFP39_MOUSE	0.26
TRINITY_DN9020_c0_g1_i1	sp|A4YI89|HPCD_METS5	3.22e-29
TRINITY_DN9020_c0_g1_i2	sp|A4YI89|HPCD_METS5	2.43e-29
TRINITY_DN9054_c0_g1_i6	sp|Q9XF67|PDPK1_ARATH	1.01e-47
TRINITY_DN9054_c0_g1_i3	sp|Q9XF67|PDPK1_ARATH	4.39e-48
TRINITY_DN9024_c0_g1_i3	sp|Q9ULV0|MYO5B_HUMAN	4.57e-71
TRINITY_DN9024_c0_g1_i2	sp|Q9ULV0|MYO5B_HUMAN	2.1e-71
TRINITY_DN9012_c0_g1_i1	sp|Q6DHU1|CLP1L_DANRE	2.13e-82
TRINITY_DN9002_c0_g1_i2	sp|Q8GT75|NIP1_ARATH	2.09e-11
TRINITY_DN9086_c0_g1_i1	sp|Q8ICR0|CDPK2_PLAF7	1.73e-50
TRINITY_DN9035_c0_g1_i1	sp|P15479|ACEA_RICCO	0
TRINITY_DN9035_c0_g1_i2	sp|P15479|ACEA_RICCO	0
TRINITY_DN9035_c0_g1_i3	sp|P15479|ACEA_RICCO	0
TRINITY_DN9035_c0_g2_i2	sp|Q9KPQ9|PANE_VIBCH	3.33e-36
TRINITY_DN9035_c0_g2_i1	sp|Q9KPQ9|PANE_VIBCH	5.93e-36
TRINITY_DN9035_c0_g2_i3	sp|Q9KPQ9|PANE_VIBCH	2.33e-40
TRINITY_DN9035_c0_g2_i4	sp|Q9KPQ9|PANE_VIBCH	6.89e-40
TRINITY_DN9083_c0_g2_i6	sp|Q9LE82|RAGP1_ARATH	7.71e-07
TRINITY_DN9083_c0_g2_i2	sp|Q9LE82|RAGP1_ARATH	8.56e-07
TRINITY_DN9063_c0_g1_i10	sp|Q1LUA8|EI3EB_DANRE	1.14e-78
TRINITY_DN9063_c0_g1_i9	sp|Q1LUA8|EI3EB_DANRE	9.63e-79
TRINITY_DN9063_c0_g1_i6	sp|Q1LUA8|EI3EB_DANRE	2.49e-79
TRINITY_DN9063_c0_g1_i1	sp|Q1LUA8|EI3EB_DANRE	6.7e-79
