"Trinity_protein" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" "TRINITY_DN21464_c0_g1_i1" "tr|A0A1Q9E613|A0A1Q9E613_SYMMI" 38.298 611 346 10 801 2570 567 1167 6.69e-116 382
"12189" "TRINITY_DN4352_c0_g1_i2" "tr|A0A1Q9BS57|A0A1Q9BS57_SYMMI" 33.333 219 144 1 1808 2464 79 295 4.67e-27 119
"12190" "TRINITY_DN4352_c0_g1_i2" "tr|A0A1Q9BS57|A0A1Q9BS57_SYMMI" 36.747 166 95 5 748 1224 52 214 5.33e-12 70.9
"12191" "TRINITY_DN4311_c0_g1_i6" "tr|A0A1Q9D9Y0|A0A1Q9D9Y0_SYMMI" 30.581 327 181 6 1433 561 141 457 3e-19 93.2
"12192" "TRINITY_DN4311_c0_g1_i6" "tr|A0A1Q9D9Y0|A0A1Q9D9Y0_SYMMI" 29.819 332 197 7 1478 537 284 597 2.15e-17 87.4
"12193" "TRINITY_DN4311_c0_g1_i6" "tr|A0A1Q9D9Y0|A0A1Q9D9Y0_SYMMI" 29.67 273 174 5 1355 561 129 391 2.65e-15 80.9
"12194" "TRINITY_DN4311_c0_g1_i12" "tr|A0A1Q9D9Y0|A0A1Q9D9Y0_SYMMI" 30.581 327 181 6 1501 629 141 457 3.25e-19 93.2
"12195" "TRINITY_DN4311_c0_g1_i12" "tr|A0A1Q9D9Y0|A0A1Q9D9Y0_SYMMI" 29.819 332 197 7 1546 605 284 597 2.31e-17 87.4
"12196" "TRINITY_DN4311_c0_g1_i12" "tr|A0A1Q9D9Y0|A0A1Q9D9Y0_SYMMI" 29.67 273 174 5 1423 629 129 391 2.84e-15 80.9
"12197" "TRINITY_DN4311_c0_g1_i10" "tr|A0A1Q9DSC6|A0A1Q9DSC6_SYMMI" 31.687 243 145 5 1118 420 122 353 7.5e-19 92
"12198" "TRINITY_DN4311_c0_g1_i10" "tr|A0A1Q9DSC6|A0A1Q9DSC6_SYMMI" 28.315 279 174 7 1232 426 122 384 1.34e-16 85.1
"12199" "TRINITY_DN4311_c0_g1_i10" "tr|A0A1Q9DSC6|A0A1Q9DSC6_SYMMI" 28.839 267 168 6 1232 456 188 440 5.55e-15 79.7
"12200" "TRINITY_DN4311_c0_g1_i5" "tr|A0A1Q9DSC6|A0A1Q9DSC6_SYMMI" 31.687 243 145 5 1470 772 122 353 7.22e-19 91.7
"12201" "TRINITY_DN4311_c0_g1_i5" "tr|A0A1Q9DSC6|A0A1Q9DSC6_SYMMI" 29.008 262 165 6 1479 724 152 402 2.55e-16 83.6
"12202" "TRINITY_DN4311_c0_g1_i5" "tr|A0A1Q9DSC6|A0A1Q9DSC6_SYMMI" 30.131 229 143 4 1470 808 221 440 1.08e-14 78.6
"12203" "TRINITY_DN4321_c0_g1_i1" "tr|A0A1Q9C7C9|A0A1Q9C7C9_SYMMI" 42.4 250 127 4 1277 564 1236 1480 5.55e-49 188
"12204" "TRINITY_DN4368_c0_g1_i1" "tr|A0A1Q9D0W8|A0A1Q9D0W8_SYMMI" 32.381 105 71 0 645 959 650 754 5.62e-11 65.1
"12205" "TRINITY_DN4322_c0_g2_i2" "tr|A0A1Q9F4S3|A0A1Q9F4S3_SYMMI" 32.432 148 86 5 1 435 141 277 2.22e-12 64.3
"12206" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 74 172 1.73e-12 65.1
"12207" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 118 216 1.73e-12 65.1
"12208" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 162 260 1.73e-12 65.1
"12209" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 206 304 1.73e-12 65.1
"12210" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 250 348 1.73e-12 65.1
"12211" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 294 392 1.73e-12 65.1
"12212" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 338 436 1.73e-12 65.1
"12213" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 382 480 1.73e-12 65.1
"12214" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.475 99 50 1 478 188 426 524 1.73e-12 65.1
"12215" "TRINITY_DN4337_c0_g2_i2" "tr|A0A1Q9C365|A0A1Q9C365_SYMMI" 47.917 96 48 1 469 188 33 128 1.17e-11 62.8
"12216" "TRINITY_DN4337_c0_g1_i4" "tr|A0A1Q9DEF1|A0A1Q9DEF1_SYMMI" 52.068 532 235 9 1775 207 1920 2440 6.19e-164 523
"12217" "TRINITY_DN4384_c0_g1_i3" "tr|A0A1Q9CKJ4|A0A1Q9CKJ4_SYMMI" 33.913 230 133 6 881 246 1250 1478 3.95e-27 113
"12218" "TRINITY_DN4384_c0_g1_i4" "tr|A0A1Q9CKJ4|A0A1Q9CKJ4_SYMMI" 33.913 230 133 6 1114 479 1250 1478 1.85e-26 113
"12219" "TRINITY_DN4384_c0_g1_i7" "tr|A0A1Q9CKJ4|A0A1Q9CKJ4_SYMMI" 33.913 230 133 6 1281 646 1250 1478 4.42e-26 113
"12220" "TRINITY_DN4384_c0_g1_i5" "tr|A0A1Q9CKJ4|A0A1Q9CKJ4_SYMMI" 33.913 230 133 6 1293 658 1250 1478 4.67e-26 113
"12221" "TRINITY_DN4305_c0_g1_i3" "tr|A0A1Q9CXX3|A0A1Q9CXX3_SYMMI" 38 100 60 1 1135 836 305 402 4.01e-17 85.9
"12222" "TRINITY_DN4305_c0_g1_i2" "tr|A0A1Q9CXX3|A0A1Q9CXX3_SYMMI" 39.216 102 59 1 1054 758 305 406 5.4e-17 85.5
"12223" "TRINITY_DN4344_c0_g1_i10" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 1.3e-95 311
"12224" "TRINITY_DN4344_c0_g1_i4" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 1.04e-94 313
"12225" "TRINITY_DN4344_c0_g1_i8" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 1.83e-96 313
"12226" "TRINITY_DN4344_c0_g1_i1" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 8.35e-96 311
"12227" "TRINITY_DN4344_c0_g1_i5" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 3.56e-94 311
"12228" "TRINITY_DN4344_c0_g1_i3" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 1.83e-94 311
"12229" "TRINITY_DN4344_c0_g1_i6" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 6.53e-95 311
"12230" "TRINITY_DN4344_c0_g1_i2" "tr|A0A1Q9DAD3|A0A1Q9DAD3_SYMMI" 42.985 335 189 2 67 1068 1 334 4.64e-94 311
"12231" "TRINITY_DN4342_c0_g1_i2" "tr|A0A1Q9CYL6|A0A1Q9CYL6_SYMMI" 41.549 142 81 2 765 1187 60 200 3.43e-30 123
"12232" "TRINITY_DN4342_c0_g1_i3" "tr|A0A1Q9CYL6|A0A1Q9CYL6_SYMMI" 41.549 142 81 2 765 1187 60 200 2.8e-30 123
"12233" "TRINITY_DN4342_c0_g1_i6" "tr|A0A1Q9CYL6|A0A1Q9CYL6_SYMMI" 41.549 142 81 2 765 1187 60 200 3.42e-30 123
"12234" "TRINITY_DN4342_c0_g1_i5" "tr|A0A1Q9CYL6|A0A1Q9CYL6_SYMMI" 41.549 142 81 2 765 1187 60 200 2.68e-30 123
"12235" "TRINITY_DN4338_c0_g1_i1" "tr|A0A1Q9DYB1|A0A1Q9DYB1_SYMMI" 33.578 545 278 18 1137 2630 385 892 2.48e-60 225
"12236" "TRINITY_DN4398_c1_g1_i5" "tr|A0A1Q9C8I8|A0A1Q9C8I8_SYMMI" 44.224 303 157 4 546 1424 1065 1365 2.34e-69 254
"12237" "TRINITY_DN4398_c1_g1_i7" "tr|A0A1Q9C8I8|A0A1Q9C8I8_SYMMI" 44.224 303 157 4 546 1424 1065 1365 2.22e-69 254
"12238" "TRINITY_DN4398_c1_g1_i8" "tr|A0A1Q9C8I8|A0A1Q9C8I8_SYMMI" 44.224 303 157 4 546 1424 1065 1365 1.47e-69 254
"12239" "TRINITY_DN4398_c1_g1_i2" "tr|A0A1Q9C8I8|A0A1Q9C8I8_SYMMI" 44.224 303 157 4 408 1286 1065 1365 6.08e-70 253
"12240" "TRINITY_DN4398_c1_g1_i9" "tr|A0A1Q9C8I8|A0A1Q9C8I8_SYMMI" 44.224 303 157 4 546 1424 1065 1365 1.88e-69 254
"12241" "TRINITY_DN4398_c1_g1_i3" "tr|A0A1Q9C8I8|A0A1Q9C8I8_SYMMI" 44.224 303 157 4 546 1424 1065 1365 2.01e-69 254
"12242" "TRINITY_DN4398_c1_g1_i10" "tr|A0A1Q9C8I8|A0A1Q9C8I8_SYMMI" 44.224 303 157 4 408 1286 1065 1365 2.07e-69 253
"12243" "TRINITY_DN4398_c3_g1_i3" "tr|A0A1Q9D2H4|A0A1Q9D2H4_SYMMI" 52.427 206 93 1 70 687 61 261 6.16e-71 232
"12244" "TRINITY_DN4398_c3_g1_i2" "tr|A0A1Q9D2H4|A0A1Q9D2H4_SYMMI" 52.427 206 93 1 70 687 61 261 2.93e-71 232
"12245" "TRINITY_DN4398_c3_g1_i1" "tr|A0A1Q9D2H4|A0A1Q9D2H4_SYMMI" 52.427 206 93 1 70 687 61 261 1.57e-71 232
"12246" "TRINITY_DN4371_c0_g1_i2" "tr|A7YXS3|A7YXS3_KARVE" 85.535 159 23 0 773 297 6 164 2.04e-96 281
"12247" "TRINITY_DN4371_c0_g1_i8" "tr|A7YXS3|A7YXS3_KARVE" 85.535 159 23 0 906 430 6 164 1.01e-95 281
"12248" "TRINITY_DN4371_c0_g1_i3" "tr|A7YXS3|A7YXS3_KARVE" 85.535 159 23 0 1069 593 6 164 6.35e-95 281
"12249" "TRINITY_DN4371_c0_g1_i5" "tr|A7YXS3|A7YXS3_KARVE" 85.535 159 23 0 890 414 6 164 8.21e-96 281
"12250" "TRINITY_DN4371_c0_g1_i4" "tr|A7YXS3|A7YXS3_KARVE" 85.535 159 23 0 814 338 6 164 3.38e-96 281
"12251" "TRINITY_DN4371_c0_g1_i12" "tr|A7YXS3|A7YXS3_KARVE" 85.535 159 23 0 904 428 6 164 9.78e-96 281
"12252" "TRINITY_DN4371_c0_g1_i11" "tr|A7YXS3|A7YXS3_KARVE" 85.535 159 23 0 918 442 6 164 1.16e-95 281
"12253" "TRINITY_DN4378_c0_g2_i1" "tr|A0A1Q9EI30|A0A1Q9EI30_SYMMI" 29.832 238 149 5 5 691 535 763 2.38e-17 84.3
"12254" "TRINITY_DN4378_c0_g1_i2" "tr|A0A1Q9EQJ6|A0A1Q9EQJ6_SYMMI" 30.678 339 182 10 255 1244 202 496 5.26e-23 103
"12255" "TRINITY_DN4378_c0_g1_i4" "tr|A0A1Q9EQJ6|A0A1Q9EQJ6_SYMMI" 38.926 149 76 5 498 920 202 343 1.03e-15 82.4
"12256" "TRINITY_DN4378_c0_g1_i1" "tr|A0A1Q9EQJ6|A0A1Q9EQJ6_SYMMI" 30.678 339 182 10 498 1487 202 496 8.28e-23 103
"12257" "TRINITY_DN4378_c0_g1_i3" "tr|A0A1Q9EQJ6|A0A1Q9EQJ6_SYMMI" 38.926 149 76 5 255 677 202 343 6.11e-16 83.2
"12258" "TRINITY_DN4353_c0_g1_i1" "tr|A0A1Q9F0Z1|A0A1Q9F0Z1_SYMMI" 46.629 356 175 7 149 1174 176 530 8.77e-99 313
"12259" "TRINITY_DN4353_c0_g1_i3" "tr|A0A1Q9F0Z1|A0A1Q9F0Z1_SYMMI" 46.629 356 175 7 149 1174 176 530 1.68e-99 313
"12260" "TRINITY_DN4353_c0_g1_i2" "tr|A0A1Q9F0Z1|A0A1Q9F0Z1_SYMMI" 46.629 356 175 7 149 1174 176 530 6.28e-99 313
"12261" "TRINITY_DN4376_c0_g1_i1" "tr|A0A1Q9DCP4|A0A1Q9DCP4_SYMMI" 40.157 127 75 1 77 457 615 740 9.3e-26 108
"12262" "TRINITY_DN4313_c0_g1_i1" "tr|A0A1Q9E8T7|A0A1Q9E8T7_SYMMI" 49.393 247 124 1 1165 428 1254 1500 7.44e-75 254
"12263" "TRINITY_DN4333_c0_g1_i3" "tr|A0A1Q9CUD2|A0A1Q9CUD2_SYMMI" 41.342 462 232 6 2328 1024 450 899 3.62e-99 328
"12264" "TRINITY_DN4333_c0_g1_i1" "tr|A0A1Q9CUD2|A0A1Q9CUD2_SYMMI" 41.342 462 232 6 1948 644 450 899 1.41e-100 328
"12265" "TRINITY_DN4333_c0_g1_i5" "tr|A0A1Q9CUD2|A0A1Q9CUD2_SYMMI" 41.342 462 232 6 1922 618 450 899 1.1e-100 328
"12266" "TRINITY_DN4333_c0_g1_i2" "tr|A0A1Q9CUD2|A0A1Q9CUD2_SYMMI" 41.342 462 232 6 1892 588 450 899 8.35e-101 328
"12267" "TRINITY_DN4381_c1_g1_i1" "tr|A0A1Q9C8G5|A0A1Q9C8G5_SYMMI" 30.675 163 103 2 1485 1027 11 173 9.84e-12 69.7
"12268" "TRINITY_DN4381_c1_g1_i3" "tr|A0A1Q9C8G5|A0A1Q9C8G5_SYMMI" 30.675 163 103 2 1485 1027 11 173 8.34e-12 70.1
"12269" "TRINITY_DN4377_c0_g1_i2" "tr|A0A1Q9CLH2|A0A1Q9CLH2_SYMMI" 43.273 275 148 3 344 1147 310 583 9.78e-70 234
"12270" "TRINITY_DN4377_c0_g1_i1" "tr|A0A1Q9CLH2|A0A1Q9CLH2_SYMMI" 43.273 275 148 3 715 1518 310 583 1.57e-68 235
"12271" "TRINITY_DN4300_c0_g1_i5" "tr|A0A1Q9DKI8|A0A1Q9DKI8_SYMMI" 87.698 756 89 3 3190 935 23 778 0 1300
"12272" "TRINITY_DN4300_c0_g1_i9" "tr|A0A1Q9DHE0|A0A1Q9DHE0_SYMMI" 87.863 758 88 3 3044 780 1064 1820 0 1308
"12273" "TRINITY_DN4300_c0_g1_i2" "tr|A0A1Q9DKI8|A0A1Q9DKI8_SYMMI" 87.698 756 89 3 3096 841 23 778 0 1300
"12274" "TRINITY_DN4300_c0_g1_i4" "tr|A0A1Q9DKI8|A0A1Q9DKI8_SYMMI" 87.698 756 89 3 3187 932 23 778 0 1300
"12275" "TRINITY_DN4300_c0_g1_i1" "tr|A0A1Q9DHE0|A0A1Q9DHE0_SYMMI" 87.863 758 88 3 3067 803 1064 1820 0 1308
"12276" "TRINITY_DN4300_c0_g1_i3" "tr|A0A1Q9DHE0|A0A1Q9DHE0_SYMMI" 87.863 758 88 3 3080 816 1064 1820 0 1308
"12277" "TRINITY_DN4300_c0_g1_i10" "tr|A0A1Q9DHE0|A0A1Q9DHE0_SYMMI" 87.863 758 88 3 3067 803 1064 1820 0 1308
"12278" "TRINITY_DN4300_c0_g1_i12" "tr|A0A1Q9DKI8|A0A1Q9DKI8_SYMMI" 87.698 756 89 3 3099 844 23 778 0 1300
"12279" "TRINITY_DN4300_c0_g1_i11" "tr|A0A1Q9DHE0|A0A1Q9DHE0_SYMMI" 87.863 758 88 3 3080 816 1064 1820 0 1308
"12280" "TRINITY_DN4339_c0_g1_i7" "tr|A0A1Q9CSX1|A0A1Q9CSX1_SYMMI" 33.333 288 149 14 87 842 158 438 2.94e-25 115
"12281" "TRINITY_DN49193_c0_g1_i1" "tr|A0A1Q9EPX4|A0A1Q9EPX4_SYMMI" 41.176 323 162 7 286 1179 1488 1807 1.21e-52 195
"12282" "TRINITY_DN49199_c0_g1_i1" "tr|A0A1Q9CXZ1|A0A1Q9CXZ1_SYMMI" 37.445 227 117 5 645 1 225 438 1.04e-29 122
"12283" "TRINITY_DN49191_c0_g1_i1" "tr|A0A1Q9ENV2|A0A1Q9ENV2_SYMMI" 61.455 275 101 3 911 90 1817 2087 1.81e-98 318
"12284" "TRINITY_DN49149_c0_g1_i1" "tr|A0A1Q9F2W9|A0A1Q9F2W9_SYMMI" 42.088 297 161 3 921 34 264 550 7.59e-69 233
"12285" "TRINITY_DN49126_c0_g1_i1" "tr|A0A1Q9D2S9|A0A1Q9D2S9_SYMMI" 32.692 156 86 2 106 516 663 818 2.28e-13 68.2
"12286" "TRINITY_DN49168_c0_g1_i1" "tr|A0A1Q9DAL4|A0A1Q9DAL4_SYMMI" 41.892 148 76 3 1 417 695 841 1.13e-27 108
"12287" "TRINITY_DN49147_c0_g1_i1" "tr|A0A1Q9F5T7|A0A1Q9F5T7_SYMMI" 51.471 68 33 0 10 213 111 178 4.28e-13 63.2
"12288" "TRINITY_DN49146_c0_g1_i1" "tr|A0A1Q9CJ91|A0A1Q9CJ91_SYMMI" 43.333 540 281 8 7 1605 727 1248 1.19e-133 421
"12289" "TRINITY_DN49165_c0_g1_i1" "tr|A0A1Q9EDN7|A0A1Q9EDN7_SYMMI" 51.064 188 69 3 547 5 167 338 1.13e-58 199
"12290" "TRINITY_DN49189_c0_g1_i1" "tr|A0A1Q9EYJ5|A0A1Q9EYJ5_SYMMI" 36.145 83 53 0 252 4 277 359 8.33e-16 72
"12291" "TRINITY_DN49110_c0_g1_i1" "tr|A0A1Q9CS79|A0A1Q9CS79_SYMMI" 29.775 356 179 13 1180 317 706 1058 7.99e-26 112
"12292" "TRINITY_DN24837_c0_g1_i2" "tr|A0A1Q9CIE6|A0A1Q9CIE6_SYMMI" 56.646 316 125 3 70 981 1652 1967 3.06e-90 312
"12293" "TRINITY_DN24837_c0_g1_i2" "tr|A0A1Q9CIE6|A0A1Q9CIE6_SYMMI" 43.82 267 130 6 1327 2073 2695 2959 4.33e-55 207
"12294" "TRINITY_DN24848_c0_g2_i1" "tr|A0A1Q9C0T3|A0A1Q9C0T3_SYMMI" 33.019 106 68 2 328 11 284 386 2.52e-15 71.2
"12295" "TRINITY_DN24889_c0_g2_i1" "tr|A0A1Q9C6X1|A0A1Q9C6X1_SYMMI" 37.195 164 98 3 1131 649 247 408 2.44e-31 124
"12296" "TRINITY_DN24802_c0_g1_i1" "tr|A0A1Q9DF10|A0A1Q9DF10_SYMMI" 29.143 350 182 16 433 1407 339 647 5.35e-14 76.6
"12297" "TRINITY_DN24841_c1_g1_i1" "tr|A0A1Q9DKW1|A0A1Q9DKW1_SYMMI" 27.637 673 408 21 2690 747 266 884 1.63e-48 189
"12298" "TRINITY_DN24841_c1_g1_i10" "tr|A0A1Q9DKW1|A0A1Q9DKW1_SYMMI" 28.344 628 388 18 2068 260 266 856 1.4e-48 188
"12299" "TRINITY_DN24841_c1_g1_i7" "tr|A0A1Q9DKW1|A0A1Q9DKW1_SYMMI" 28.344 628 388 18 2070 262 266 856 1.41e-48 188
"12300" "TRINITY_DN24841_c0_g1_i4" "tr|A0A1Q9D0S3|A0A1Q9D0S3_SYMMI" 37.647 85 48 1 803 564 223 307 3.46e-11 66.6
"12301" "TRINITY_DN24841_c0_g1_i6" "tr|A0A1Q9D0S3|A0A1Q9D0S3_SYMMI" 37.647 85 48 1 863 624 223 307 3.64e-11 66.6
"12302" "TRINITY_DN24891_c0_g1_i1" "tr|A0A1Q9EX62|A0A1Q9EX62_SYMMI" 53.02 149 68 1 190 630 452 600 8.1e-51 183
"12303" "TRINITY_DN24891_c0_g1_i2" "tr|A0A1Q9EX62|A0A1Q9EX62_SYMMI" 53.02 149 68 1 190 630 452 600 1.29e-50 183
"12304" "TRINITY_DN24832_c0_g1_i1" "tr|A0A1Q9DCC7|A0A1Q9DCC7_SYMMI" 29.319 191 120 7 67 621 174 355 7.61e-18 84.7
"12305" "TRINITY_DN24887_c0_g1_i1" "tr|A0A1Q9DWY6|A0A1Q9DWY6_SYMMI" 46.099 141 60 5 757 362 1827 1960 3.35e-26 118
"12306" "TRINITY_DN24887_c0_g1_i2" "tr|A0A1Q9DWY6|A0A1Q9DWY6_SYMMI" 46.099 141 60 5 757 362 1827 1960 3.25e-26 118
"12307" "TRINITY_DN24814_c0_g1_i1" "tr|A0A1Q9EUU9|A0A1Q9EUU9_SYMMI" 47.368 76 36 3 293 78 1245 1320 1.27e-12 63.2
"12308" "TRINITY_DN24869_c0_g1_i1" "tr|A0A1Q9CCL7|A0A1Q9CCL7_SYMMI" 30 120 75 2 348 10 1474 1591 3e-12 62.8
"12309" "TRINITY_DN24836_c0_g1_i1" "tr|A0A1Q9DVN6|A0A1Q9DVN6_SYMMI" 25.326 691 475 13 2122 110 5 674 7.32e-41 162
"12310" "TRINITY_DN24823_c0_g1_i1" "tr|A0A1Q9BZJ3|A0A1Q9BZJ3_SYMMI" 38.934 244 139 4 1649 930 37 274 8.32e-35 142
"12311" "TRINITY_DN24872_c0_g2_i1" "tr|A0A1Q9EMB5|A0A1Q9EMB5_SYMMI" 79.452 73 15 0 221 3 64 136 1.06e-30 113
"12312" "TRINITY_DN24872_c0_g1_i1" "tr|A0A1Q9BYS8|A0A1Q9BYS8_SYMMI" 88 50 6 0 85 234 1 50 3.92e-22 89.4
"12313" "TRINITY_DN24871_c0_g3_i1" "tr|A0A1Q9DNX5|A0A1Q9DNX5_SYMMI" 35.294 102 66 0 360 665 355 456 2.7e-11 64.3
"12314" "TRINITY_DN24885_c0_g2_i1" "tr|A0A1Q9EWA1|A0A1Q9EWA1_SYMMI" 45.652 92 44 1 58 333 470 555 6.45e-17 79
"12315" "TRINITY_DN24826_c0_g2_i1" "tr|A0A1Q9DEE8|A0A1Q9DEE8_SYMMI" 23.273 275 171 7 2365 1613 7 265 4.51e-13 74.3
"12316" "TRINITY_DN24877_c0_g2_i1" "tr|A0A0F7EWT2|A0A0F7EWT2_9DINO" 61.842 76 29 0 243 16 221 296 3.84e-18 79.3
"12317" "TRINITY_DN24877_c0_g1_i2" "tr|A0A0F7EWD5|A0A0F7EWD5_9DINO" 31.532 222 115 6 237 824 2348 2558 1.89e-32 97.4
"12318" "TRINITY_DN24877_c0_g1_i2" "tr|A0A0F7EWD5|A0A0F7EWD5_9DINO" 54.717 53 23 1 49 207 2287 2338 1.89e-32 61.2
"12319" "TRINITY_DN24897_c1_g5_i1" "tr|A0A1Q9EVL3|A0A1Q9EVL3_SYMMI" 80.925 173 33 0 102 620 1 173 5.53e-99 297
"12320" "TRINITY_DN24828_c0_g1_i2" "tr|A0A1Q9DNY1|A0A1Q9DNY1_SYMMI" 59 300 122 1 1017 1913 1941 2240 2.24e-119 393
"12321" "TRINITY_DN24828_c0_g1_i2" "tr|A0A1Q9DNY1|A0A1Q9DNY1_SYMMI" 71.642 67 19 0 825 1025 1548 1614 2.63e-25 113
"12322" "TRINITY_DN24828_c0_g1_i1" "tr|A0A1Q9DNY1|A0A1Q9DNY1_SYMMI" 59 300 122 1 920 1816 1941 2240 8.38e-120 393
"12323" "TRINITY_DN24828_c0_g1_i1" "tr|A0A1Q9DNY1|A0A1Q9DNY1_SYMMI" 71.642 67 19 0 728 928 1548 1614 2.13e-25 113
"12324" "TRINITY_DN24858_c0_g1_i1" "tr|A0A1Q9E4J2|A0A1Q9E4J2_SYMMI" 32.857 280 168 8 875 66 94 363 5.93e-39 147
"12325" "TRINITY_DN24888_c0_g1_i1" "tr|A0A1Q9C9J8|A0A1Q9C9J8_SYMMI" 36.932 176 103 3 172 684 40 212 5.49e-24 100
"12326" "TRINITY_DN24868_c0_g1_i1" "tr|A0A1Q9CBS2|A0A1Q9CBS2_SYMMI" 32.857 140 84 4 33 431 528 664 7.76e-12 64.7
"12327" "TRINITY_DN24868_c0_g2_i1" "tr|A0A1Q9CBS5|A0A1Q9CBS5_SYMMI" 29.588 267 169 9 32 823 1145 1395 1.09e-21 100
"12328" "TRINITY_DN24809_c0_g1_i1" "tr|A0A1Q9EI50|A0A1Q9EI50_SYMMI" 27.682 578 380 12 535 2172 321 892 5.91e-52 202
"12329" "TRINITY_DN24809_c0_g1_i2" "tr|A0A1Q9EI50|A0A1Q9EI50_SYMMI" 27.682 578 380 12 535 2172 321 892 2.71e-52 202
"12330" "TRINITY_DN24854_c0_g1_i1" "tr|A0A1Q9DNJ1|A0A1Q9DNJ1_SYMMI" 35.385 130 80 2 219 596 132 261 6.63e-22 94.4
"12331" "TRINITY_DN24811_c0_g1_i1" "tr|A0A1Q9D045|A0A1Q9D045_SYMMI" 40.909 286 149 5 1163 351 1392 1672 3.28e-57 207
"12332" "TRINITY_DN24811_c0_g1_i2" "tr|A0A1Q9D045|A0A1Q9D045_SYMMI" 40.909 286 149 5 1221 409 1392 1672 5.28e-57 207
"12333" "TRINITY_DN24808_c0_g2_i1" "tr|A0A1Q9CC38|A0A1Q9CC38_SYMMI" 39.85 133 75 3 395 6 15 145 3.8e-21 88.2
"12334" "TRINITY_DN24881_c0_g1_i2" "tr|A0A1Q9E862|A0A1Q9E862_SYMMI" 36.842 437 214 15 1893 697 129 541 2.8e-71 241
"12335" "TRINITY_DN24881_c0_g1_i1" "tr|A0A1Q9E862|A0A1Q9E862_SYMMI" 36.613 437 222 14 1914 697 129 541 2.56e-71 241
"12336" "TRINITY_DN24830_c0_g1_i1" "tr|A0A1Q9DRF3|A0A1Q9DRF3_SYMMI" 33.758 157 104 0 419 889 25 181 2.35e-16 84
"12337" "TRINITY_DN24833_c0_g1_i1" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 39.683 126 71 3 374 9 912 1036 3.64e-18 89.7
"12338" "TRINITY_DN24833_c0_g1_i1" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 38.281 128 75 3 377 6 854 981 4.24e-16 83.2
"12339" "TRINITY_DN24833_c0_g1_i1" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 30.337 178 114 4 509 6 748 925 2.48e-15 80.9
"12340" "TRINITY_DN24833_c0_g1_i1" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 31.852 135 87 3 395 6 1017 1151 4.86e-13 73.6
"12341" "TRINITY_DN24833_c0_g1_i1" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 35.537 121 75 3 377 24 1081 1201 8.83e-13 72.8
"12342" "TRINITY_DN24833_c0_g1_i2" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 39.683 126 71 3 374 9 912 1036 2.64e-18 89.7
"12343" "TRINITY_DN24833_c0_g1_i2" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 38.281 128 75 3 377 6 854 981 3.21e-16 83.2
"12344" "TRINITY_DN24833_c0_g1_i2" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 30.337 178 114 4 509 6 748 925 1.91e-15 80.9
"12345" "TRINITY_DN24833_c0_g1_i2" "tr|A0A1Q9ETQ3|A0A1Q9ETQ3_SYMMI" 31.852 135 87 3 395 6 1017 1151 3.9e-13 73.6
